"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,1.01542315071413,0.88185145874471,13.8068115942029,0.0894149448706272,1.20754716981132,1.18553592310658,21.3333333333333,0.145812857927403,0.666666666666667,1,7
"MicroHub-Copycat",2026-06-06,0.893970613072116,0.867705342163221,11.5069565217391,0.0771644896304577,1,1,21.5,0.145805675295835,1,1,6
"MicroHub-Copycat",2026-06-13,1.00880742680314,1.00036893476935,9.21304347826087,0.0660435559908454,1.14285714285714,1.1346883640279,16,0.118657543801316,1,1,6
"MicroHub-Ensemble",2026-05-30,1.04381794926455,0.908845123309264,14.1928985507246,0.0921519557412919,1.20754716981132,1.18553592310658,21.3333333333333,0.145812857927403,0.333333333333333,1,7
"MicroHub-Ensemble",2026-06-06,0.923712210775207,0.899135969359447,11.8897826086957,0.0799595955131938,1.02325581395349,1.02248678089126,22,0.149084375568915,0.5,1,6
"MicroHub-Ensemble",2026-06-13,1.08783622946917,1.08187889317083,9.93478260869565,0.0714247781723804,1.14285714285714,1.1346883640279,16,0.118657543801316,0,1,6
"MicroHub-INFLAenza",2026-05-30,1.60035173736943,1.31956222466702,21.7601449275362,0.133796437486101,1.9811320754717,1.83930781282495,35,0.226222355281677,0.333333333333333,1,7
"MicroHub-INFLAenza",2026-06-06,1.12597534200304,1.05855074202989,14.4932608695652,0.0941362508533618,1.04651162790698,1.04259957636543,22.5,0.152016935295114,0.5,1,6
"MicroHub-INFLAenza",2026-06-13,1.75205903356344,1.65021192392274,16.0008695652174,0.108945669748812,2.07142857142857,1.96675342997514,29,0.205668920790946,0,1,6
"MicroHub-Opt_Baseline",2026-05-30,1.04681304625879,1.05991903951644,14.2336231884058,0.107470029726545,1,1,17.6666666666667,0.122993200868443,0.666666666666667,1,7
"MicroHub-Opt_Baseline",2026-06-06,1.07785846985307,1.09406930529893,13.8739130434783,0.0972948943166251,1,1,21.5,0.145805675295835,0.5,1,6
"MicroHub-Opt_Baseline",2026-06-13,1.15458224232326,1.14977557928012,10.544347826087,0.0759072630185198,1,1,14,0.104572803919577,1,1,6
"MicroHub-Regular_Baseline",2026-05-30,1,1,13.5971014492754,0.101394564792019,1,1,17.6666666666667,0.122993200868443,0.666666666666667,1,7
"MicroHub-Regular_Baseline",2026-06-06,1,1,12.8717391304348,0.0889293702376936,1,1,21.5,0.145805675295835,0.5,1,6
"MicroHub-Regular_Baseline",2026-06-13,1,1,9.13260869565218,0.0660191992128112,1,1,14,0.104572803919577,1,1,6
"MicroHub-Seasonal_Baseline",2026-05-30,0.928629290130036,0.827992396606602,12.6266666666667,0.0839539287050275,1.15094339622642,1.13191100141589,20.3333333333333,0.139217357162345,1,1,7
"MicroHub-Seasonal_Baseline",2026-06-06,1.01976017564601,0.980323012933477,13.1260869565217,0.0871795081696925,1,1,21.5,0.145805675295835,0.5,1,6
"MicroHub-Seasonal_Baseline",2026-06-13,1.57624375148774,1.48789123476907,14.3952173913043,0.0982293878352148,1.78571428571429,1.71835723680012,25,0.179693434387685,1,1,6
"MicroHub-newGBQR",2026-05-30,0.841057343849925,0.769081787758808,11.4359420289855,0.0779807131592725,1.16981132075472,1.14968271697918,20.6666666666667,0.141403157344398,0,1,7
"MicroHub-newGBQR",2026-06-06,0.907414288127005,0.891113168357935,11.68,0.079246132872587,1.02325581395349,1.02248678089126,22,0.149084375568915,0,1,6
"MicroHub-newGBQR",2026-06-13,1.00661747203047,1.00627553835328,9.19304347826087,0.0664335052295241,1.14285714285714,1.1346883640279,16,0.118657543801316,0,1,6
