"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,0.655659584010764,0.547372593158574,106.780434782609,0.43245918999682,0.700934579439252,0.573248245193815,150,0.629777566627356,0,0,3
"MicroHub-Copycat",2026-06-06,0.481916732755434,0.386937285645407,68.2960869565217,0.278399561464849,0.585,0.45523251001633,117,0.479823675426711,0,1,5
"MicroHub-Copycat",2026-06-13,4.68359069635225,3.29225791259954,66.8592753623188,0.457879681598344,25.4166666666667,18.0215758081617,101.666666666667,0.686619267154155,0,0,5
"MicroHub-Ensemble",2026-05-30,0.381766632761755,0.30749152989863,62.1743478260869,0.24293788109395,0.542056074766355,0.408179617702308,116,0.448431143991607,0,1,3
"MicroHub-Ensemble",2026-06-06,0.272734663698936,0.214989651636698,38.6513043478261,0.154684045594891,0.4,0.286508205343923,80,0.301985067198079,1,1,5
"MicroHub-Ensemble",2026-06-13,6.0716453974152,3.85650168362104,86.6740579710145,0.536353411505846,34.9166666666667,22.4769703388228,139.666666666667,0.856369113676441,0,0,5
"MicroHub-INFLAenza",2026-05-30,0.362881330140398,0.284696880088279,59.0986956521739,0.224928656817005,0.490654205607477,0.360602843725819,105,0.39616271544585,0,1,3
"MicroHub-INFLAenza",2026-06-06,0.204044785941424,0.149945592448138,28.9167391304348,0.107885150203395,0.2625,0.177951532603438,52.5,0.187564280983656,1,1,5
"MicroHub-INFLAenza",2026-06-13,8.96288287190733,5.41085341253953,127.947101449275,0.752529085958725,45.75,26.8044788225695,183,1.02124652147603,0,0,5
"MicroHub-Opt_Baseline",2026-05-30,1.18368185980453,1.18765666440095,192.773913043478,0.938324361688251,1,1,214,1.09861228866811,0,0,3
"MicroHub-Opt_Baseline",2026-06-06,1.24057640654026,1.21657761892024,175.81152173913,0.875321888482278,1,1,200,1.05401891312529,0,0,5
"MicroHub-Opt_Baseline",2026-06-13,0.488004954365019,0.471817642818352,6.9663768115942,0.0656193159227821,1,1,4,0.0380998462322699,1,1,5
"MicroHub-Regular_Baseline",2026-05-30,1,1,162.859565217391,0.790063652075355,1,1,214,1.09861228866811,0,0,3
"MicroHub-Regular_Baseline",2026-06-06,1,1,141.717608695652,0.719495307877817,1,1,200,1.05401891312529,0,0,5
"MicroHub-Regular_Baseline",2026-06-13,1,1,14.2752173913043,0.139077707079396,1,1,4,0.0380998462322699,1,1,5
"MicroHub-Seasonal_Baseline",2026-05-30,0.245845313513643,0.180443419515793,40.0382608695652,0.142561787015613,0.275700934579439,0.18486650974489,59,0.203096619368919,1,1,3
"MicroHub-Seasonal_Baseline",2026-06-06,0.257473143928296,0.16510156224668,36.4884782608696,0.118789799359783,0.0675,0.0426997905625537,13.5,0.0450063868394204,1,1,5
"MicroHub-Seasonal_Baseline",2026-06-13,9.66272754038112,5.23949357421158,137.937536231884,0.728696752558577,53.5,29.5058794113015,214,1.12416946851849,0,0,5
"MicroHub-newGBQR",2026-05-30,0.321119556192719,0.266869759031677,52.2973913043478,0.210844096449036,0.542056074766355,0.408179617702308,116,0.448431143991607,0,1,3
"MicroHub-newGBQR",2026-06-06,0.285710560345819,0.228181489896773,40.4902173913043,0.164175511325298,0.4,0.286508205343923,80,0.301985067198079,1,1,5
"MicroHub-newGBQR",2026-06-13,5.69113392014132,3.54449669515005,81.2421739130435,0.492960473111967,34.9166666666667,22.4769703388228,139.666666666667,0.856369113676441,0,1,5
