"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0,1.19023077119662,1.10887745769297,20.2492753623188,0.0783980026525937,1.79245283018868,1.81511213487029,31.6666666666667,0.122574926708439,0.666666666666667,1,5
"MicroHub-Copycat",1,0.7300856885013,0.656906547520767,17.7628260869565,0.0656626240627385,0.441558441558442,0.45237005848168,17,0.0689405699829972,1,1,5
"MicroHub-Copycat",2,1.90279725831635,1.58018501892035,31.2613043478261,0.116207457805205,28,24.927685889648,56,0.219628609206765,0,1,5
"MicroHub-Ensemble",0,1.16733254393512,1.08179400432537,19.8597101449275,0.0764831935506283,1.79245283018868,1.81511213487029,31.6666666666667,0.122574926708439,0.666666666666667,1,5
"MicroHub-Ensemble",1,0.712501228589044,0.637656998298444,17.335,0.0637384905330409,0.454545454545454,0.46501311740379,17.5,0.0708673546409924,0.5,1,5
"MicroHub-Ensemble",2,2.00913012411676,1.68220903893529,33.0082608695652,0.123710346301835,28,24.927685889648,56,0.219628609206765,0,1,5
"MicroHub-INFLAenza",0,1.6148020683369,1.46607402010412,27.4724637681159,0.103651917639438,2.54716981132075,2.54299664468838,45,0.171729129762421,0.333333333333333,1,5
"MicroHub-INFLAenza",1,0.939910826773412,0.82086385808262,22.8678260869565,0.0820513589389429,1.01298701298701,0.952915307690776,39,0.145222972267927,0.5,1,5
"MicroHub-INFLAenza",2,3.17900336094424,2.60357804328239,52.2282608695652,0.191468202764013,45,37.7618587806048,90,0.332705753825736,0,1,5
"MicroHub-Opt_Baseline",0,1.07544148088833,1.08506763846507,18.2963768115942,0.0767146405659748,1,1,17.6666666666667,0.067530222708361,1,1,5
"MicroHub-Opt_Baseline",1,1.05198495313491,1.05770375174022,25.5945652173913,0.105725242170875,1,1,38.5,0.152398614122224,0.5,1,5
"MicroHub-Opt_Baseline",2,1.09331251488607,1.09535205455107,17.9621739130435,0.0805526417077772,1,1,2,0.00881062968215485,1,1,5
"MicroHub-Regular_Baseline",0,1,1,17.0128985507246,0.0707003304185669,1,1,17.6666666666667,0.067530222708361,0.666666666666667,1,5
"MicroHub-Regular_Baseline",1,1,1,24.3297826086957,0.0999573292587142,1,1,38.5,0.152398614122224,0.5,1,5
"MicroHub-Regular_Baseline",2,1,1,16.4291304347826,0.0735404123022273,1,1,2,0.00881062968215485,1,1,5
"MicroHub-Seasonal_Baseline",0,2.43536447196926,2.09611737369922,41.4326086956522,0.148196190916634,3.92452830188679,3.75717572099785,69.3333333333333,0.253722913193431,0.333333333333333,1,5
"MicroHub-Seasonal_Baseline",1,1.45204928652484,1.23486162115665,35.3280434782609,0.123433469654905,1.53246753246753,1.39367149913847,59,0.212393605010344,0.5,1,5
"MicroHub-Seasonal_Baseline",2,3.08367957233969,2.51206338011958,50.6621739130435,0.184738176703321,43.5,36.6860283012303,87,0.323227009871192,0,1,5
"MicroHub-newGBQR",0,0.990544258831747,0.943842365405876,16.8520289855072,0.0667299670972372,1.56603773584906,1.60445083363284,27.6666666666667,0.108348922119841,0.333333333333333,1,5
"MicroHub-newGBQR",1,0.589302786886711,0.554061304094572,14.3376086956522,0.0553824882028938,0.636363636363636,0.629090792462414,24.5,0.0958725649283232,0.5,1,5
"MicroHub-newGBQR",2,1.58890623759494,1.39493502886847,26.104347826087,0.102584097157806,23.5,21.2726530876385,47,0.187425468712131,0,1,5
