"model_id","horizon","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",0,1.06907301793682,0.978754394925565,10.4865217391304,0.0972597750427747,1.31578947368421,1.26069337893,16.6666666666667,0.154858029267035,0.666666666666667,1,5
"MicroHub-Copycat",1,0.684459539047469,0.581120667466231,7.57934782608696,0.0631263905149331,0.666666666666667,0.650667245168868,7,0.0619520466849979,1,1,5
"MicroHub-Copycat",2,1.22840944392669,1.01313311449789,13.7539130434783,0.114558373576076,24,21.4476995175176,24,0.211309093667207,0,1,5
"MicroHub-Ensemble",0,1.10200644189002,1.00360681862381,10.8095652173913,0.0997293845287611,1.39473684210526,1.32454700974348,17.6666666666667,0.162701528403766,0.666666666666667,1,5
"MicroHub-Ensemble",1,0.704091248184067,0.597697734655506,7.79673913043478,0.0649271359978723,0.857142857142857,0.820797189931109,9,0.078150646443452,1,1,5
"MicroHub-Ensemble",2,1.34183752718236,1.10197102256697,15.0239130434783,0.124603575055191,29,25.3975823163933,29,0.25022450991688,0,1,5
"MicroHub-INFLAenza",0,1.1873762595668,1.05044798218631,11.6469565217391,0.104384036456201,1.21052631578947,1.12385604791511,15.3333333333333,0.138049533430314,0.666666666666667,1,5
"MicroHub-INFLAenza",1,0.820428756527543,0.683950314465896,9.085,0.0742966427816721,1,0.954814933548305,10.5,0.09091089151624,1,1,5
"MicroHub-INFLAenza",2,1.43755824790308,1.16171364264416,16.095652173913,0.131358874325622,29,25.3975823163933,29,0.25022450991688,0,1,5
"MicroHub-Opt_Baseline",0,0.950090127360303,0.946745592744995,9.31942028985507,0.0940790292748768,1,1,12.6666666666667,0.122835601308915,1,1,5
"MicroHub-Opt_Baseline",1,1.01064038635204,1.01483017430419,11.1913043478261,0.110239696290248,1,1,10.5,0.0952131018504234,1,1,5
"MicroHub-Opt_Baseline",2,1.02935694315005,1.03760095955336,11.5252173913043,0.117325035226313,1,1,1,0.009852296443011,1,1,5
"MicroHub-Regular_Baseline",0,1,1,9.80898550724638,0.0993709714582394,1,1,12.6666666666667,0.122835601308915,1,1,5
"MicroHub-Regular_Baseline",1,1,1,11.0734782608696,0.108628713534098,1,1,10.5,0.0952131018504234,1,1,5
"MicroHub-Regular_Baseline",2,1,1,11.1965217391304,0.113073368086336,1,1,1,0.009852296443011,1,1,5
"MicroHub-Seasonal_Baseline",0,2.55626311279218,1.94311543760375,25.074347826087,0.193089268690186,3.42105263157895,2.86488121103707,43.3333333333333,0.351909406236351,0.333333333333333,1,5
"MicroHub-Seasonal_Baseline",1,2.04224743806196,1.52030820823069,22.6147826086957,0.16514912483543,3.66666666666667,3.15325712643349,38.5,0.300231391939686,0.5,1,5
"MicroHub-Seasonal_Baseline",2,2.35317645231438,1.78070794486686,26.3473913043478,0.201350644904194,47,38.465498359017,47,0.378973492661189,0,1,5
"MicroHub-newGBQR",0,1.12629650424042,1.03499599482014,11.0478260869565,0.102848557460664,1.47368421052632,1.40702894037359,18.6666666666667,0.172833245949836,0.666666666666667,1,5
"MicroHub-newGBQR",1,0.625112882327535,0.538738678369538,6.92217391304348,0.0585224895623431,0.857142857142857,0.820797189931109,9,0.078150646443452,1,1,5
"MicroHub-newGBQR",2,1.43992699596148,1.20605810832998,16.1221739130435,0.136373052416706,30,26.1694429104392,30,0.2578291093021,0,1,5
