"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,0.819653989713362,0.892014184851259,83.1920289855073,0.345129172079998,0.802575107296137,0.778224444882575,124.666666666667,0.48128337564879,0.333333333333333,0.666666666666667,7
"MicroHub-Copycat",2026-06-06,1.30498387797308,1.38683320958542,98.6286956521739,0.440262096825888,1.10121457489879,1.06550588439436,136,0.575409783536895,0.5,0.5,8
"MicroHub-Copycat",2026-06-13,4.7725447385863,3.7979659244986,159.66652173913,0.770247576485734,3.68333333333333,2.60521918303235,221,1.00801539331588,0,0,9
"MicroHub-Ensemble",2026-05-30,0.800565736528417,0.8778275326121,81.2546376811594,0.339640215037567,0.802575107296137,0.778224444882575,124.666666666667,0.48128337564879,0.333333333333333,0.666666666666667,7
"MicroHub-Ensemble",2026-06-06,1.30504140527698,1.38690686027182,98.6330434782609,0.440285477867967,1.10121457489879,1.06550588439436,136,0.575409783536895,0.5,0.5,8
"MicroHub-Ensemble",2026-06-13,4.77956255604507,3.80114642228183,159.901304347826,0.770892598257452,3.68333333333333,2.60521918303235,221,1.00801539331588,0,0,9
"MicroHub-INFLAenza",2026-05-30,0.988873753080708,1.00714545762528,100.367246376812,0.389674608159177,0.88412017167382,0.809256952484939,137.333333333333,0.500475049865559,0.666666666666667,0.666666666666667,7
"MicroHub-INFLAenza",2026-06-06,1.72365609027185,1.66353253636538,130.271304347826,0.528102671277429,1.35222672064777,1.2005501103038,167,0.648338305036918,0.5,0.5,8
"MicroHub-INFLAenza",2026-06-13,6.89896942051022,4.85181925778765,230.80652173913,0.983974606183731,5.2,3.20559139044855,312,1.24031232661658,0,0,9
"MicroHub-Opt_Baseline",2026-05-30,0.998022349591476,1.00093652800933,101.295797101449,0.38727231145331,1,1,155.333333333333,0.618437751234362,0,0.666666666666667,7
"MicroHub-Opt_Baseline",2026-06-06,1.00270953601353,1.00474585405282,75.7832608695652,0.318965188766031,1,1,123.5,0.540034355477971,0,1,8
"MicroHub-Opt_Baseline",2026-06-13,1.00271615527571,0.998694881875918,33.5460869565217,0.20254060402482,1,1,60,0.386921530395996,0,1,9
"MicroHub-Regular_Baseline",2026-05-30,1,1,101.49652173913,0.386909959439207,1,1,155.333333333333,0.618437751234362,0,0.666666666666667,7
"MicroHub-Regular_Baseline",2026-06-06,1,1,75.5784782608696,0.317458576693228,1,1,123.5,0.540034355477971,0,1,8
"MicroHub-Regular_Baseline",2026-06-13,1,1,33.4552173913043,0.202805288883001,1,1,60,0.386921530395996,0,1,9
"MicroHub-Seasonal_Baseline",2026-05-30,1.14661172082716,1.10813790517379,116.377101449275,0.428749591943841,0.944206008583691,0.828843670681368,146.666666666667,0.512588215821019,0.666666666666667,0.666666666666667,7
"MicroHub-Seasonal_Baseline",2026-06-06,2.12286393929719,1.91765827879729,160.442826086957,0.608777067770974,1.76113360323887,1.41409910979084,217.5,0.76366210133787,0.5,0.5,8
"MicroHub-Seasonal_Baseline",2026-06-13,8.15844672306913,5.45664083501283,272.942608695652,1.10663562087556,5.96666666666667,3.46313580199971,358,1.33996180447889,0,0,9
"MicroHub-newGBQR",2026-05-30,0.681632553982003,0.739208817486365,69.1833333333333,0.286007253590753,0.763948497854077,0.750371139036772,118.666666666667,0.464057839817068,0.333333333333333,0.666666666666667,7
"MicroHub-newGBQR",2026-06-06,1.03507727355096,1.11647068446983,78.2295652173913,0.354433194411506,1.01214574898785,1.00858615446523,125,0.544671173870635,0.5,0.5,8
"MicroHub-newGBQR",2026-06-13,3.84298283233914,3.07891000477555,128.567826086957,0.624419232963268,3.53333333333333,2.53749906322613,212,0.981813020921859,0,0,9
