"model_id","target_end_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"MicroHub-Copycat",2026-05-30,0.363393899456638,0.305567310827984,55.6256521739131,0.16029069905772,NA,NA,105,0.299242894852857,0,1,3
"MicroHub-Copycat",2026-06-06,0.231097477694968,0.181750164518799,27.2195652173913,0.0786528379272504,0.205882352941176,0.156919388252643,38.5,0.108768231542511,1,1,5
"MicroHub-Copycat",2026-06-13,4.94155655865767,3.89323094531073,165.478405797101,0.789520970488427,3.80555555555556,2.65851125441369,228.333333333333,1.02863524313272,0,0,5
"MicroHub-Ensemble",2026-05-30,0.324316110285826,0.273426406567024,49.6439130434783,0.143430623291184,NA,NA,105,0.299242894852857,0,1,3
"MicroHub-Ensemble",2026-06-06,0.231854206118057,0.182258499796127,27.3086956521739,0.0788728212889506,0.205882352941176,0.156919388252643,38.5,0.108768231542511,1,1,5
"MicroHub-Ensemble",2026-06-13,4.94389360385353,3.89429117415663,165.556666666667,0.789735977745667,3.80555555555556,2.65851125441369,228.333333333333,1.02863524313272,0,0,5
"MicroHub-INFLAenza",2026-05-30,0.226516543726052,0.1831987589548,34.6734782608696,0.0961001262203155,NA,NA,63,0.168622712435793,1,1,3
"MicroHub-INFLAenza",2026-06-06,0.255447521806698,0.172496037818382,30.0876086956522,0.0746480914696435,0.125668449197861,0.0878241368311305,23.5,0.0608750528296089,1,1,5
"MicroHub-INFLAenza",2026-06-13,6.94398881680595,4.87164046990394,232.534057971015,0.987935821352173,5.26666666666667,3.22894176532051,316,1.24934708939736,0,0,5
"MicroHub-Opt_Baseline",2026-05-30,0.996557473435454,1.00003464679588,152.545652173913,0.524585735897285,NA,NA,219,0.775244542747146,0,0,3
"MicroHub-Opt_Baseline",2026-06-06,1.00082686422816,1.00382688607685,117.881304347826,0.434408593723463,1,1,187,0.693147180559945,0,1,5
"MicroHub-Opt_Baseline",2026-06-13,1.00229376658112,1.00083045451068,33.5639130434783,0.202961664190867,1,1,60,0.386921530395996,0,1,5
"MicroHub-Regular_Baseline",2026-05-30,1,1,153.072608695652,0.524567561312061,NA,NA,219,0.775244542747146,0,0,3
"MicroHub-Regular_Baseline",2026-06-06,1,1,117.783913043478,0.432752499209514,1,1,187,0.693147180559945,0,1,5
"MicroHub-Regular_Baseline",2026-06-13,1,1,33.4871014492754,0.202793253618663,1,1,60,0.386921530395996,0,1,5
"MicroHub-Seasonal_Baseline",2026-05-30,0.174103224670304,0.123292843684198,26.6504347826087,0.064675426338649,0,0,0,0,1,1,3
"MicroHub-Seasonal_Baseline",2026-06-06,0.391160304610876,0.243824263727333,46.0723913043478,0.105515559495923,0.419786096256684,0.274878641343075,78.5,0.190531355243101,1,1,5
"MicroHub-Seasonal_Baseline",2026-06-13,8.20379899680171,5.48133288034856,274.721449275362,1.11157732897284,5.97777777777778,3.46667013680451,358.666666666667,1.3413293147105,0,0,5
"MicroHub-newGBQR",2026-05-30,0.35471941420241,0.312091520800406,54.2978260869565,0.163713087972441,NA,NA,105,0.299242894852857,0,1,3
"MicroHub-newGBQR",2026-06-06,0.296045078865867,0.253909778950294,34.869347826087,0.109880091414475,0.31283422459893,0.245704506878141,58.5,0.170309386193455,1,1,5
"MicroHub-newGBQR",2026-06-13,3.66848148324468,2.97155531474868,122.846811594203,0.602611370585717,3.31111111111111,2.4324201843415,198.666666666667,0.941155740291522,0,0,5
